name,image,price
חב' 4 נרות ספירלי 25 ס''מ כסף גילטר,69238325158548.jpg,12
חב' 4 נרות ספירלי 25 ס''מ זהב גילטר,6928325158531.jpg,12
חב' 4 נרות אורך 26 ס''מ תחרה זהב,7290017674872.jpg,30
חב' 4 נרות אורך 26 ס''מ כסף,7290017674872_silver.jpg,30
זוג נרות ספירלה בצבע לבן,7290019792307.jpg,20
קונפטיבר מצווה,6923538228514.jpg,6
חבקי מפיות,6928325142783.jpg,21
מפיות חמסה,6928325196571.jpg,6
16 מפיות 33*33 ,6923538233273.jpg,7
חמסה מעוצבת בצבע זהב,6923538227609.jpg,12
מגש עגול מצופה בד קרם עיטורי חמסה,69235338234867.jpg,25
מגש חמסה מצופה בד קרם עיטורי חמסה,6923538234959.jpg,45
מגש אובלי מצופה בד קרם עיטורי חמסה,6923538234942.jpg,34
16 מפיות 33*33,6923538233327.jpg,7
חבילת צלחות נייר חמסה,6923538233310.jpg,6
מגש פלסטיק עגול שקוף עיטורי זהב,6923538240592.jpg,12
3 מגשי קרטון מלבני,6923538233341.jpg,9
מרכז שולחן בצורת חמסה,6923538212315.jpg,12
חב' חבק מפיות אקרילי חמסה,6923538224561.jpg,10
חב' 6 קופ' תרבוש מיני,6928325169711.jpg,21
כובע תרבוש כסוף,6928326169728.jpg,21
חבילת תרבוש לחינה,6928325169735.jpg,21
10 כוסות נייר חמסה,6923538233303.jpg,5
קישוטי חמסה,6923538212858.jpg,12
חב' 10 פד לחינה חמסה זהב,6928325174067.jpg,16
חב' 10 פד לחינה חמסה כסף,6928325174074.jpg,16
מניפה,6923538237387.jpg,5






